1000,Sequence Control
1269,Error at writing command
1270,Error at writing command
1271,Error at writing command
1272,Error at writing command
1273,Error at writing command
1274,Error at writing command
1275,Error at writing command
F1100,System Error Number
F1100,1
F1100,5
F1100,6
F1100,8
F1100,14
F1100,15
F1100,16
F1100,17
F1100,18
F1100,32
F1100,33
F1100,34
F1100,38
F1100,51
F1100,52
F1100,65
F1100,72
F1100,73
F1100,74
F1101,Module Version Number
F1102,Configuration list type
F1102,0xCF01
F1102,0xCF02
F1102,0xCF03
F1102,0xCF04
F1102,0xCF05
F1103,System command code
F1104,Interface type
F1104,0
F1104,1
F1104,2
F1104,3
F1105,IO Attribute
F1105,0
F1105,1
F1105,2
F1105,3
F1106,Data flow direction
F1106,0
F1106,1
F1108,Channel Number
F1110,Error Number
F1110,-1
F1110,-2
F1110,-3
F1110,1
F1110,2
F1110,3000
F1110,3001
F1110,3006
F1110,3010
F1110,3019
F1111,Max. Number of Elements
F1112,Index
F1113,Data structure length
F1114,Expected version number
F1115,Index in configuration list
F1116,Interface type
F1116,0
F1116,1
F1116,2
F1116,3
F1116,4
F1116,5
F1116,6
F1118,Direction of data flow
F1118,0
F1118,1
F1120,Commandcode
F1121,IRQ Level
F1122,Index in Task List
F1123,Index
F1124,Number of command configation list
F1125,Index in configuration list
F1126,Channel Number
F1130,IO Error number
F1130,1
F1130,2
F1130,3
F1131,Command Code
F1131,0
F1131,1
F1131,2
F1131,4
F1140,Parameter value
F1141,Max. command code
F1142,Command code (details see AS help)
F1143,Cyclic state
2000,Trace
2101,Command not valid
2102,Trace is already active at trace start
2103,Sampling time for trace too small
2104,Invalid NC object for trace test data
2105,Invalid type for trace test data
2106,No test data defined
2107,Recording time for trace too small
2108,Invalid NC object for trace trigger
2109,Invalid type for trace trigger
2110,Invalid event for trace trigger
2111,Trace format error
2112,DPR trace save error
F2100,Command Number (setails see AS help)
F2101,Trace format status
F2101,2
F2101,3
F2101,4
F2101,5
F2101,6
F2102,File IO status
4000,Controller
4103,Read access to HW interface is not possible
4104,Write access to HW interface is not possible
4106,Command not allowed in current state
4107,Event not allowed in current state
4114,Invalid parameter in 'Simulation Mode' command
4115,Invalid parameter in 'Controller INIT' command
4117,Axis hardware cannot be initialized
4131,Position latch2 already used for Signal Line
4133,Switch controller off not allowed when movement is active
4139,Invalid parameter in 'Digital Input INIT' command
4143,Invalid parameter in 'Position Latch1' command
4144,Invalid parameter in 'Position Latch2' command
4150,Invalid parameter in 'Actual Positions for Coupling' command
4151,Position Latch or Comparator aborted because of Encoder Interface INIT
4154,Position Latch or Comparator aborted because of search home operation
4157,Error at writing to an internal interface
4158,Command not allowed - CAN interface not initialized
4160,Invalid parameter in 'Limits INIT' command
4161,Another latch function already active
F4100,Command Number (details see AS help)
F4101,Internal Event Number
F4101,0
F4101,1
F4101,2
F4101,3
F4101,4
F4102,State
F4102,0x00
F4102,0x10
F4102,0x20
F4102,0x30
F4102,0x40
F4103,Interface Number
F4104,Interface Name
F4104,1
F4104,2
F4104,3
F4104,4
F4104,5
F4104,6
F4104,7
F4104,8
F4104,11
F4104,12
F4105,Interface Error
F4105,1
F4105,2
F4105,3
F4105,109
F4105,110
F4105,111
F4105,112
F4105,113
F4105,114
F4105,117
F4105,118
F4108,Hardware Error Number
F4109,Name of the INIT module
F4112,Parameter
F4112,1
F4112,2
F4114,Controller Parameter
F4114,1
F4114,2
F4114,5
F4115,Parameter for digital Inputs
F4115,1
F4115,2
F4115,3
F4115,4
F4115,5
F4115,6
F4115,7
F4116,Position Latch Parameter
F4116,1
F4116,2
F4116,3
F4119,Controller-Parameter
F4119,1
5000,Set Value Generator
5102,Axis not referenced (or set 'ignore' for SW end switches)
5104,Access to HW interface is not possible
5105,Search home procedure aborted
5106,Command not allowed in current state
5107,Event not allowed in current state
5110,Axis Limits - Positive SW end < Negative SW end
5111,Search Home procedure cancelled by command
5112,Search Home procedure cancelled by Event
5115,Target position > Positive Software End
5116,Target position < Negative Software End
5117,Acceleration > Maximum axis acceleration
5118,Speed > Maximum axis speed
5119,Maximum acceleration in the axis limit parameters <= 0
5120,Maximum speed in the axis limit parameters <= 0
5121,Movement aborted caused by controller error
5122,Invalid ratio for electronic gears
5123,Move in pos. direction not allowed (pos. HW limit switch is closed)
5124,Move in neg. direction not allowed (neg. HW limit switch is closed)
5125,Positive HW limit switch reached
5126,Negative HW limit switch reached
5127,Velocity or Acceleration <= 0 within Positioning Parameters
5128,Invalid parameter in 'Master/Slave Coupling' command
5129,Invalid parameter in 'Axis limit values INIT' command
5130,Positive SW Limit reached
5131,Negative SW Limit reached
5132,LINK' to data module for cam profile not yet done
5133,Error at 'LINK' of data module for cam profile
5134,Error at 'UNLINK' of data module for cam profile
5135,Invalid parameter for 'Cam Profile INIT' command'
5136,Parameters for Cam Profile are not yet initialized
5140,Jolt time limited to a valid value
5142,Missing set positions at module overlapping coupling
5143,Error for Cam Profile Compensation Gears
5144,No data modules specified for start of a Cam Profile
5145,Latch for trigger positioning not enabled
5146,Restart not possible for starting a Cam Profile the first time
5147,Cam Profile Automat is not initialized
5150,A state cannot be reached by any event
5151,For Cam Profile start DIR/ABS only one name is possible (cyclic or single)
5152,Position out of 'In-Position-Tolerance' at START/RESTART of CNC move
5153,Abortion caused by missing set positions at module overlapping coupling
5154,Abortion caused by missing set positions at CAN coupling
5155,Missing set positions at CAN coupling
5156,Cam Profile Automat INIT - Invalid parameter in the coupling configuration
5157,Cam Profile Automat INIT - Invalid parameter in the basis state
5158,Cam Profile Automat INIT - Invalid parameter in a state
5159,Velocities or Acceleration <= 0 within Limiter Parameters
5160,Too many changes of Cam Profile per NC-cycle (Master Period too short)
5161,Invalid parameter for length of master/slave coupling
5162,Abortion - maximum length of master/slave coupling exceeded
5163,Only two active CNC trigger jobs are possible
5164,Invalid position trigger source
5165,Invalid parameter in 'DPR Override' command
5166,Invalid parameter in 'Master speed compensation' command
5167,Invalid event for movement 'Stop after trigger'
5168,Open compensation data module not possible
5169,Compensation start not possible
5170,Invalid values in compensation data module
5171,Invalid compensation parameters
5172,FIFO full (Command start compensation)
5173,Not enough memory for the allocation (command compensation-start)
F5100,Command Number (details see AS help)
F5101,Internal Event Number
F5101,0
F5101,1
F5101,2
F5101,3
F5101,4
F5101,5
F5101,6
F5101,7
F5101,8
F5101,9
F5101,10
F5101,11
F5101,12
F5101,13
F5102,State
F5102,0x00
F5102,0x10
F5102,0x20
F5102,0x30
F5102,0x40
F5103,Movement Type
F5103,0x000
F5103,0x100
F5103,0x200
F5103,0x300
F5103,0x500
F5103,0x600
F5103,0x700
F5103,0x800
F5104,Interface Name
F5104,3
F5104,7
F5104,15
F5105,Interface Error
F5105,1
F5105,2
F5105,3
F5105,109
F5105,110
F5105,111
F5105,112
F5105,113
F5105,114
F5105,117
F5105,118
F5106,Axis Limit Value
F5106,1
F5106,2
F5110,Current positive SW limit
F5111,Current negative SW limit
F5112,Current acceleration limit
F5113,Current speed limit
F5116,Gears Parameter
F5116,1
F5116,2
F5117,Module Name
F5118,LINK Error
F5118,1
F5118,2
F5118,3
F5118,4
F5118,5
F5118,6
F5118,7
F5118,9
F5118,10
F5118,11
F5118,12
F5118,13
F5118,14
F5119,UNLINK Error
F5119,1
F5119,3
F5119,4
F5120,Parameter
F5120,1
F5120,2
F5120,3
F5120,4
F5120,5
F5120,6
F5120,7
F5120,8
F5121,Name of Cam Profile
F5122,Current value
F5124,Error
F5124,1
F5124,3
F5124,4
F5124,5
F5124,6
F5124,9
F5125,Parameter
F5125,5
F5125,6
F5125,8
F5125,9
F5125,10
F5125,11
F5125,12
F5125,13
F5125,14
F5125,15
F5125,16
F5125,17
F5125,18
F5125,19
F5125,20
F5125,21
F5125,22
F5125,23
F5127,State Index
F5128,Event Index
F5129,CNC start position
F5130,Actual set position
F5131,Memory allocation error
F5131,1
F5131,2
F5131,3
F5131,4
F5132,Daten Plausibilitдt Fehler
F5132,2
F5132,3
F5132,4
F5132,5
F5132,6
F5132,7
F5132,8
F5133,Curve type selection
F5133,1
F5133,2
7000,CNC Trajectory Generator
7101,Command not allowed - Module already initialized
7102,Command not allowed - Module not initialized
7105,Command not allowed - Commando 'Continue CNC Move' active
7106,Event not allowed- Module not initialized
7107,Command not allowed - Command 'HALT' or 'STOP' active
7108,Command not allowed - No NC program active
7109,Command not allowed - Not in 'HALT' state
7110,Initialization incomplete
7111,Too many CNC axes specified in INIT parameters
7112,Unknown parameter
7113,Unexpected trigger event
7114,Command not allowed - Restart active
7115,Activating Restart - internal Error during buffer allocation
7116,Restart - Buffer for R-parameters and external parameters to large
7117,Restart - Buffer for trigger events too large
7118,Restart - Invalid buffer for trigger events
7122,Error at reading an internal interface
7123,Error at writing to an internal interface
7124,Error at writing directly to an internal interface
7125,Unknown path command
7126,Programmed axis is not ready for operation
7127,M-Function is not yet transferred to PLC at third call
7128,T-Function is not yet transferred to PLC at third call
7129,Internal Error - NC Program aborted by event 'Current position'
7130,NC Program aborted by axis error
7131,NC Program aborted by command
7132,No input data for active movement (change of NC records too fast)
7133,T_max exceeded at controlling the 'In-Position-Tolerance' (Accuracy Hold)
7134,CNC PLC data is not processed by the PLC (call nccnccom())
7135,Unknown Polynomial Type
7136,Unknown Contour Command
7137,Unknown State
7138,Jolt time limited to a valid value
7139,Not enough RAM for parameter change
7140,HALT' command aborted with 'STOP' command or by error
7141,Positioning aborted with 'STOP' command or by error
7142,Positioning aborted at end of NC program
7143,Positioning aborted at end of buffer
7144,Positioning aborted with 'HALT' command
7145,Error at RESTART INFO in FPROM
7146,Command not allowed - NC program active
7147,No RESTART INFO existing
7148,Wrong NC program name specified at 'RESTART'
7149,Trajectory position to large at 'RESTART'
7150,NC program length different at 'RESTART'
7151,NC program date or time different at 'RESTART'
7152,NC program number different at 'RESTART'
7153,Negative value for target of 'Positioning within NC Program'
7156,CNC axis settings - Specified axis still in move
7157,CNC axis settings - Filter time < 0.0
7158,CNC axis settings - Filter time too large
7159,Restart aborted at end of NC program (restart position not found)
7160,Too many active trigger events
7161,Unknown trigger channel
7162,EX parameter is locked by application program
7163,time is longer than section run time
7164,Division by zero
7165,Error at setting up a module
7166,Error at installing a module
7167,Error at linking a module
7168,Restart buffer full (too many trigger events)
7169,Restart buffer empty (no more stored trigger events)
7170,Data module version is incompatible
7171,Highest possible number of records
7172,Datenmodul inkompatibel
7173,Available restart parameter buffer to small
7174,No restart buffer defined
7175,Invalide module name
7176,NC-Program contains too many G221
7177,"G222, programmed pathlenght too long"
7178,Signal time longer than path section runtime
7179,Only one signal of the same type possible
7180,M-function index too large
7181,M-function group number too large
7182,M-function can't belong to more than one group
7183,Size of lookahead buffer changed to the default value
7184,Not enough RAM for lookahead buffer
7185,Position modulo out of 'In-Position-Tolerance' at RESTART of CNC move
7186,"Start position out of <rot_offset,rot_period+rot_offset) range"
7187,Internal error - non-blocking path synchronous action returns busy status
7188,Internal error - unknown type of path synchronization
7189,TRF_direct() function detected an error.
7190,TRF_inverse() function detected an error.
7191,Full transformation - No library TRF_LIB or its functions.
7192,TRF_init_instance() error or no TRF_LIB.
7193,Restart not allowed - wraping is active
7194,Restart not allowed - automatic tangential axis + G126 active
7195,TRF_generic() function detected an error.
7196,TRF_get_joints_pos() function detected an error.
7197,TRF_get_joints_pos() function detected an error.
7198,Position modulo out of 'In-Position-Tolerance' at RESTART of CNC move
7199,Restart not allowed - kinematic transformation + ncROTARY axis
7200,WS error. Collision with exclusive block
7201,WS error. Out of main workspace
7202,WS error. Collision with protected block
7203,WS error. Collision with protected half-space
7204,WS error. Self-collision
7205,WS Error. Inter-channel collision
7206,WS Error. Inter-channel collision
7207,WS Error. External interchannel collision
7208,WS Error. External interchannel collision
7226,Programmed axis is not ready for operation
7232,"path generator - no input data (e.g. short NC blocks, high speed)"
7233,T_max exceeded at controlling the 'In-Position-Tolerance' (Accuracy Hold)
7234,Wrong NC init program name specified at 'RESTART'
7235,Wrong start position (type or position)
7236,"Contour segment skipped, contour speed too high (forward)"
7237,Wrong data source specified at 'RESTART' (BR-Module/File/Stream)
7238,Wrapping on/off not possible. Set position not equal zero
7239,Wrapping on not possible. Set position not equal zero
7240,Wrapping off not possible. Set position not equal zero
7241,Unknown restart type
7242,Internal error - NcIp command return value
7243,Internal error - Invalid handle to the Interpreter
7244,Path synchronous call returned error - movement aborted
7245,Tracking - Violation of the maximum tracking velocity
7246,Tracking - Additive elements after desynchronization unequal zero
7247,Tracking - Violation of axis velocity
7248,TRACKING - Internal error - Necessary data are not available
7249,Line pointer queue returned error
7250,Single step is not possible
7251,"Contour segment had to be skipped, contour speed too high (backward)"
7252,"Mapping/Wrapping, backward move not allowed"
7253,"Backward move not possible, block buffer to small"
7254,"Backward move on the path, 'block_buffer' too small"
7700,"Begin abort, contour active"
7701,"Begin abort, no contour active"
7702,SPF finished with abort
7703,Precision stop request
7704,All precision stops reached
7705,"M-function RESET, Warning NC-Programm aborted"
7706,Abort msg. for abort command-ACK sent
7707,CNC-End msg. to SGEN sent
7708,Abort msg. for NC-Program-ACK sent
7709,New CNC-command
7720,SPF abort done
7721,End of contour segment
7730,Abort msg. received
7731,Precision stop msg. received
7732,Trigger msg. received
7733,NC-Program end CNC-End Msg. to SGEN sent
7734,NC-Program end All precision stops reached
7735,Precision stop request jolt filter
7736,"Precision stop request NC-Program, contour active"
7737,"Precision stop request NC-Program, no contour active"
7738,NC-Program All precision stops reached
7739,SPF abort - v_path smaler then a_max*TA
7740,Plot buffer - invalid footer value
7741,Plot buffer - Length of data section too small
7742,ACP10_MC FB Error
7743,Position out of 'In-Position-Tolerance' at START/RESTART of CNC move
7744,Both axis factor and unitfactor not equal 1.0
7745,Axis movement already active at START/RESTART of a CNC move
7746,ACP10_MC FB aborted by an other command
7747,Internal error - invalid axis index
7748,Internal error - invalid axis index
F7100,Command Number (details see AS help)
F7101,Event Number
F7101,0
F7101,1
F7101,2
F7101,3
F7109,Current value
F7110,IO Error Number
F7110,1
F7110,2
F7110,3
F7111,Interface
F7111,1
F7111,2
F7111,4
F7111,5
F7112,Contour Command Number
F7113,Section run time
F7115,Axis Index
F7116,Program Number
F7117,Position in NC Program
F7118,Sum of section run times
F7120,IO Error number
F7120,1
F7120,2
F7120,3
F7121,IO Error Number
F7121,1
F7121,2
F7121,3
F7122,Parameter type
F7122,0
F7122,1
F7122,2
F7122,3
F7122,4
F7123,Polynomial header
F7124,State
F7125,Current value
F7126,Parameter value
F7127,Job ID
F7128,Number of NC programs
F7129,NC program name in RESTART INFO
F7130,Specified position
F7131,Maximum position
F7132,Current NC program length
F7133,Old NC program lengt
F7134,Current NC program number
F7135,Old NC program number
F7136,Axis index
F7137,Maximum filter time
F7138,Triggerevent
F7139,Module Name
F7140,System Error
F7140,3000
F7140,3001
F7140,3006
F7140,3010
F7140,3019
F7140,3039
F7140,8020
F7140,8021
F7140,8022
F7140,8100
F7140,8101
F7140,8120
F7145,Blocknumber N
F7146,Program Number
F7147,Blocknumber N
F7148,Position in the NC-Programm
F7149,Position of last block
F7150,Fileoffset
F7151,Contour segment no.
F7152,Stop code
F7153,Contour segment length
F7154,ax_status_op
F7155,ax_status_stop
F7156,Trigger position
F7157,Trigger edge
F7158,Job-ID
F7159,CNC-command no.
F7160,Version number
F7161,Revision number
F7162,Required version number
F7163,Required revision number
F7164,No. of Contour Blocks
F7165,RTK-Error
F7166,max. number of elements
F7167,actual number of elemnts
F7168,required number of elements
F7169,Pathlength
F7170,Program Number
F7171,M-function index
F7172,max. M-function index
F7173,M-function group no.
F7174,max. M-function group no.
F7175,Restart type
F7176,Position modulo period error
F7177,current byte
F7178,necessary byte
F7179,TRF_direct() return status (bgen)
F7180,TRF_inverse() return status (bgen)
F7195,Address of TRF_...() function's inputs and outputs
F7196,ACP10_MC FB error number
F7197,Command aborted
F7198,ACP10_MC FB number
F7198,1
F7198,2
F7198,3
F7198,4
F7198,5
F7198,6
F7198,7
F7198,8
F7198,9
F7198,10
F7198,11
F7198,12
F7198,13
F7198,14
F7199,CNC start position
F7200,Actual set position
F7201,Line number
F7202,Status
F7203,Blocknummer N
F7204,Status
F7205,Command Number
F7206,axis factor
F7207,unitfactor
F7208,TRF_generic() return status (bgen)
F7209,Address of collision info
F7210,Blocknummer N
F7211,Reason
F7211,0
F7211,1
F7212,Channel name
F7213,External wire-frame model index
8000,CNC Dynamic Calculation
8101,Only one tangential axis possible
8102,No feed rate (F...) for NC block (Linear Interpolation)
8103,No feed rate (F...) for NC block (Circular Interpolation)
8104,No main plane specified
8105,Unknown axis type
8106,Max. trajectory speed <= 0.0
8107,Max. negative acceleration <= 0.0
8108,Max. positive acceleration <= 0.0
8109,Max. negative path jolt < 0.0
8110,Max. positive path jolt < 0.0
8111,Max. axis speed for rapid linear interpolation <= 0.0
8112,Max. axis speed <= 0.0
8113,Max. axis acceleration for rapid linear interpolation <= 0.0
8114,Max. axis acceleration <= 0.0
8115,Max. axis jolt for rapid linear interpolation < 0.0
8116,Max. axis jolt < 0.0
8117,Number of precalculated path elements changed to a valid value
8118,Positive SW End too large
8119,Negative SW End too small
8120,Negative SW End > Positive SW End
8121,Error at reading an internal interface
8122,Error at writing into an internal interface
8123,Executing search home within an NC program is currently not allowed
8124,Calling a spline within an NC program is currently not allowed
8125,Axis name multiple used
8126,Index for CNC axis multiple used
8127,Index for CNC axis invalid
8128,Internal Error - 'ind_pos_out' for CNC axis multiple used
8129,Internal Error - 'ind_pos_out' for CNC axis invalid
8130,Number of axes is too large
8131,Number of cartesian contour axes is too large
8132,"Negative value for maximum jump (v, a, vt)"
8133,Number of started turns for circle equal to 0
8134,Radius difference between start and end
8135,Number of started turns for circle equal to 0
8136,Radius difference between start and end
8137,"Target Position > Positive SW End (G00,G01)"
8138,"Target Position < Negative SW End (G00,G01)"
8139,"Target Position > Positive SW End (G02,G03)"
8140,"Target Position < Negative SW End (G02,G03)"
8141,Position on the Circle > Positive SW End
8142,Position on the Circle < Negative SW End
8143,"Target Position > Positive SW End (G02,G03)"
8144,"Target Position < Negative SW End (G02,G03)"
8145,Position on the Circle > Positive SW End
8146,Position on the Circle < Negative SW End
8147,Radius of Circle equal to 0.0
8148,"Name of CNC axis not 'A','B','C','U','V','W','X','Y' or 'Z'"
8150,Only one axis for circular interpolation specified
8151,Not specified two linear axes for a circle
8152,Not specified two cartesian contour axes for a circle
8153,Tangential axes cannot be a cartesian contour axis
8154,NC block with move distance equal to 0.0
8155,"Distance equal to 0.0, signal will be ignored"
8156,Internal Error - Parameter Set Index not allowed
8157,G107 Parameter not valid
8158,G211/$TA Value changed to 2 x CNC cycle time
8159,G193 - invalid mode
8160,Internal Error - Incorrect calculation of speed profile
8161,Internal Error - Entry Speed > Admissible Speed
8162,Internal Error - Exit Speed > Admissible Speed
8163,Internal Error - The set speed is negative
8164,Internal Error - The entry speed is negative
8165,Internal Error - The exit speed it negative
8170,Internal Error (Buffer Management1)
8171,Internal Error (Buffer Management2)
8172,Internal Error (Buffer Management3)
8173,Internal Error (Buffer Management4)
8180,Full transformation - no transformation variable
8181,Full transformation - bad size of transformation variable
8182,Full transformation - no TRF_LIB or its functions
8183,Full transformation - TRF_init_instance() error
8184,Full transformation - invalid definiton of path axes
8185,Full transformation - invalid definiton of joint axes
8186,Full transformation - index of path axis does not correspond to CNC axis
8187,Full transformation - index of joint axis does not correspond to CNC axis
8188,Full transformation - index of frame axis does not correspond to CNC axis
8189,Full transformation - newer TRF_LIB required (TRF_direct3)
8190,Full transformation - newer TRF_LIB required (TRF_inverse3)
8191,Full transformation - newer TRF_LIB required (TRF_generic cmd_code 10)
8192,Full transformation - initialization error
8200,$FILTER_ERR_TRANS - Allowed contour deviation can not be met
8201,$FILTER_ERR_TRANS - Path speed possibly too small
8210,OptMot - Axis limits in axis - init file lower than OptMot - axis limits
8220,Command not allowed in this state
8221,Initialization incomplete
8222,NC-Programm aborted
8223,Calculation factor (CNC units to Positioning units) <= 0
8224,Unknown parameter
8225,Too many blocks containing only nonsync. M-functions or M-parameters
8226,NC-Program contains too many G221
8227,Block buffer too small
8228,Contour element with undefined length or run time
8229,Too many blocks containing only nonsync. M-functions or M-parameters
8230,Spline - Axis not referenced
8231,Error at accessing spline parameter file
8232,File is not a spline parameter file
8233,Version of spline parameter file is wrong
8234,Number of axes is not equal to the dimension of the spline
8235,Spline - Max. Trajectory Speed exceeded
8236,Spline - Max. Trajectory Acceleration exceeded
8237,Error on memory allocation
8238,Positive SW End < Spline Maximum
8239,Negative SW End > Spline Minimum
8240,Spline - Max. Axis Speed exceeded
8241,Spline - Max. Axis Acceleration exceeded
8242,Spline - Resolution of precalculation not equal to current resolution
8243,G141 Automatical Tangential axis - internal FIFO overflow
8244,G141 M-function sync1_t or sync2_t not in the admissible range
8245,G141 Unsynchronized M-function used for sync1_t or sync2_t
8246,"Straight line, starting point and end point are equal"
8247,Trajectory must not pass the zero point
8248,Circle ar only in the polar plane allowed
8249,Internal Error - Incorrect calculation of Parameters (PKM-NCDY)
8250,Internal Error - Incorrect calculation of Limit Values (PKM-NCDY - acceleration)
8251,Software limits for the radial axis must be positive
8252,G141 - no M-Function (sync1_t or sync2_t) defined
8258,"Target Position > Positive SW End (G00,G01)"
8259,"Target Position < Negative SW End (G00,G01)"
8260,"Target Position > Positive SW End (G02,G03)"
8261,"Target Position < Negative SW End (G02,G03)"
8262,Position on the Circle > Positive SW End
8263,Position on the Circle < Negative SW End
8264,"Target Position > Positive SW End (G02,G03)"
8265,"Target Position < Negative SW End (G02,G03)"
8266,Position on the Circle > Positive SW End
8267,Position on the Circle < Negative SW End
8268,Plot buffer - read or write pointer outside allowed range
8269,Plot buffer - buffer full (write pointer has read pointer obtained)
8270,"Programmed axis limit value too high, reduced to init value"
8271,"Programmed path limit value too high, reduced to init value"
8272,Programmed axis limit value out of range
8273,Programmed path limit value out of range
8274,"G126 suspended, block to short"
8275,Plot buffer - invalid data format
8276,G141 active - G172 following a G00 not allowed
F8100,Axis Index
F8101,Program Number
F8102,Position in NC Program
F8103,Command Code (details see AS help)
F8104,State
F8104,0
F8104,1
F8104,2
F8104,3
F8104,4
F8105,State
F8105,0
F8105,1
F8105,2
F8105,3
F8105,4
F8106,Max. number of axes
F8107,IO Error Number
F8107,1
F8107,2
F8107,3
F8108,IO Error Number
F8108,1
F8108,2
F8108,3
F8109,Current value
F8110,Axis index
F8111,Parameter type
F8111,0
F8111,1
F8111,2
F8111,3
F8111,4
F8112,Parameter value
F8113,Blocknumber N
F8114,Offset in NC-Program
F8115,Blocknumber N
F8116,Program Number
F8117,Position of last block
F8118,Return status of transformation function
F8119,Return status of TRF_init_instance
F8119,1
F8119,1001
F8119,1002
F8119,1003
F8119,1004
F8119,1005
F8119,2001
F8119,2002
F8119,2003
F8119,2004
F8119,2005
F8119,2006
F8119,4001
F8119,4002
F8119,100001
F8120,Line
F8121,Contour violation
F8122,Code
F8122,2
F8122,3
F8122,4
F8122,5
F8122,6
F8122,7
F8122,8
F8122,9
F8122,11
F8122,12
F8122,13
F8122,14
F8122,15
F8122,16
F8123,Limitsindex
9000,CNC CDC
9101,Command not allowed - Module already initialized
9102,Command not allowed - Module not initialized
9106,Event not allowed- Module not initialized
9107,Event not allowed - NC program active
9118,Error occurred during initialization
9200,Invalid combination at CDC activation (area1)
9201,Invalid combination at CDC activation (area2)
9202,Invalid combination at CDC activation (area3)
9203,Invalid combination at CDC deactivation
9210,Internal Error - Invalid combination at CDC correction (area1)
9211,Internal Error - Invalid combination at CDC correction (area2)
9212,Internal Error - Invalid combination at CDC correction (area3)
9213,Calculated radius < 0 at Line-Circle-Transition
9214,No point of intersection at Line-Circle-Transition
9215,Calculated radius < 0 at Circle-Line-Transition
9216,No point of intersection at Circle-Line-Transition
9217,Radius1 < 0 at Circle-Circle-Transition
9218,Radius2 < 0 at Circle-Circle-Transition
9219,Concentric Circles
9220,Circles without point of intersection
9221,Excentric Circles
9231,Internal Error - Writing into output fifo is not possible
9232,Internal Error - Invalid CDC state
9233,Internal Error - Writing into output fifo is not possible
9234,Internal Error - Writing into output fifo is not possible
9235,Internal Error - Writing into output fifo is not possible
9236,Internal Error - Writing into output fifo is not possible
9237,Internal Error - Invalid CDC state
9238,Internal Error - Invalid CDC state
9239,Change of CDC activation in circular block
9240,Change of CDC activation in circular block
9241,Programmed Radius < Tool radius
9242,Programmed Radius < Tool radius
9243,Radius difference between start and end too large
9244,CDC activation in circular block
9245,Radius difference between start and end too large
9246,Internal Error - Invalid CDC state
9247,Tool radius too large (Contour Violation)
9248,Program End without deactivating CDC
9249,CDC activation in circular block
9250,CDC activation in circular block
9251,Program End without deactivating CDC
9252,Internal Error - Unallowed CDC state
9253,CDC deactivation could not be completed. Missing move distance after G40
9254,CDC replaced circular block with linear block
9255,G140 with active CDC not allowed
9256,G170/G172 immediately after G40 only allowed with G138 or G137+ncAUTO
9260,"Calculation of normal impossible, line length is 0"
9261,Circle radius equal to 0
9262,Invalid block combination at angle calculation
9263,"Angle calculation impossible, vector length is 0"
9264,Angle not defined
9265,CDC deactivation before activation could be completed
9266,CDC deactivation before activation could be completed
9267,CDC deactivation before activation could be completed
9268,Change of CDC activation during activation
9269,Feedrate for CDC-Transition-Circle is less then 5%
9270,CDC activation in circular block not allowed
9271,CDC deactivation before block with rotaion/shift (G16/G53ff./G92/G159/Dxx) not allowed
9272,"G103/G104, invalid Parameter"
9273,"G103/G104, Feed Adjustment limited to 10%"
